

Emo_Nback_RecMem_CDbox_20160815,YALE,FE5VTN03,4.000,29-Jan-2016,0.667,0.667,0.000,0.167,0.333,0.333,0.000,0.750,0.417,0.333,0.125,0.250,0.583,0.885,0.583,0.583,0.000,0.083,0.417,0.417,0.000,0.333,0.167,0.167,-0.300,0.667,0.833,0.537,0.667,0.667,0.500,0.500,0.667,0.833,0.667,0.167,0.833,0.500,0.600,0.833,0.667,0.800,0.667,0.500,0.600,0.333,0.333,0.222,0.750,0.625,0.500,0.375, NaN, NaN,

Emo_Nback_RecMem_CDbox_20160815,YALE,FVKBTZUT,2.000,01-Feb-2016,0.250,0.167,0.083,-0.318,0.750,0.833,0.293,0.333,0.167,0.167,-0.300,0.667,0.833,0.537,0.167,0.167,0.000,-0.333,0.833,0.833,0.000,0.833,0.083,0.750,-0.167,0.167,0.917,2.350,0.333,0.333,0.333,1.000,0.167,0.333,0.000,0.667,0.167,0.333,0.200,0.333,0.333,0.300,0.333,0.000,0.000,0.667,1.000,0.800,0.750,0.125,0.250,0.750, NaN, NaN,

Emo_Nback_RecMem_CDbox_20160815,YALE,FXG8Z1V0,2.000,07-Dec-2016,0.667,0.500,0.167,0.100,0.333,0.500,0.431,0.667,0.417,0.250,0.056,0.333,0.583,0.641,0.417,0.333,0.083,-0.136,0.583,0.667,0.220,0.417,0.333,0.083,-0.136,0.583,0.667,0.220,0.833,0.667,0.167,0.500,0.500,0.667,0.667,0.333,0.667,0.667,0.700,0.667,0.667,0.700,0.500,0.333,0.400,0.167,0.667,0.500,0.375,0.375,0.750,0.375, NaN, NaN,

Emo_Nback_RecMem_CDbox_20160815,YALE,GD1EZA7B,4.000,11-Dec-2016,0.500,0.417,0.083,-0.045,0.500,0.583,0.210,0.333,0.167,0.167,-0.300,0.667,0.833,0.537,0.417,0.083,0.333,-0.375,0.583,0.917,1.173,0.333,0.000,0.333,-0.500,0.667,1.000,2.132,0.667,0.500,0.500,0.500,0.333,0.167,0.333,0.167,0.667,0.333,0.400,0.500,0.167,0.200,0.500,0.333,0.400,0.333,0.333,0.333,0.750,0.250,0.000,0.000, NaN, NaN,

Emo_Nback_RecMem_CDbox_20160815,YALE,GGDFBWCL,1.000,15-Jan-2016,0.500,0.583,-0.083,0.038,0.500,0.417,-0.210,0.500,0.417,0.083,-0.045,0.500,0.583,0.210,0.750,0.333,0.417,0.071,0.250,0.667,1.105,0.917,0.167,0.750,0.167,0.083,0.833,2.350,0.500,0.500,0.667,1.000,0.500,0.500,0.833,0.833,0.500,0.500,0.500,0.500,0.500,0.500,1.000,0.500,0.700,1.000,0.833,0.900,0.750,1.000,0.625,0.750, NaN, NaN,

Emo_Nback_RecMem_CDbox_20160815,YALE,GH562UEB,3.000,18-Dec-2016,0.333,0.000,0.333,-0.500,0.667,1.000,2.132,0.250,0.083,0.167,-0.400,0.750,0.917,0.709,0.417,0.167,0.250,-0.278,0.583,0.833,0.757,0.333,0.000,0.333,-0.500,0.667,1.000,2.132,0.667,0.333,0.500,0.333,0.000,0.167,0.333,0.333,0.333,0.333,0.200,0.500,0.000,0.100,0.714,0.000,0.222,0.667,0.000,0.200,1.000,0.222,0.111,0.000, NaN, NaN,

Emo_Nback_RecMem_CDbox_20160815,YALE,GNHB07CM,3.000,29-Jan-2016,0.500,0.250,0.250,-0.167,0.500,0.750,0.674,0.500,0.333,0.167,-0.100,0.500,0.667,0.431,0.667,0.167,0.500,-0.167,0.333,0.833,1.398,0.500,0.250,0.250,-0.167,0.500,0.750,0.674,0.667,0.667,0.667,0.667,0.333,0.333,0.667,0.333,0.667,0.333,0.400,0.500,0.500,0.500,0.857,0.400,0.556,0.500,0.500,0.400,0.889,0.333,0.444,0.222, NaN, NaN,

Emo_Nback_RecMem_CDbox_20160815,YALE,GYEM7M97,2.000,04-Jan-2016,0.167,0.167,0.000,-0.333,0.833,0.833,0.000,0.250,0.167,0.083,-0.318,0.750,0.833,0.293,0.333,0.000,0.333,-0.500,0.667,1.000,2.132,0.250,0.083,0.167,-0.400,0.750,0.917,0.709,0.167,0.167,0.333,0.167,0.167,0.333,0.333,0.333,0.333,0.000,0.100,0.500,0.000,0.200,0.500,0.167,0.300,0.333,0.167,0.300,0.375,0.750,0.000,0.000, NaN, NaN,

Emo_Nback_RecMem_CDbox_20160815,YALE,H2N0P8GY,4.000,25-Jan-2016,0.583,0.583,0.000,0.083,0.417,0.417,0.000,0.833,0.500,0.333,0.250,0.167,0.500,0.967,0.917,0.333,0.583,0.300,0.083,0.667,1.814,0.333,0.000,0.333,-0.500,0.667,1.000,2.132,0.500,0.833,0.833,0.167,0.667,0.833,1.000,0.500,0.833,0.333,0.500,0.833,0.833,0.900,1.000,0.833,0.900,0.500,0.167,0.333,0.750,0.625,0.625,0.500, NaN, NaN,

Emo_Nback_RecMem_CDbox_20160815,YALE,HAHA8KEB,4.000,30-Dec-2016,0.417,0.417,0.000,-0.083,0.583,0.583,0.000,0.417,0.167,0.250,-0.278,0.583,0.833,0.757,0.917,0.250,0.667,0.250,0.083,0.750,2.057,0.500,0.167,0.333,-0.250,0.500,0.833,0.967,0.500,0.667,0.833,0.667,0.333,0.167,1.000,0.333,0.667,0.167,0.300,0.333,0.500,0.300,0.833,1.000,1.000,0.333,0.667,0.556,0.750,0.250,0.625,0.500, NaN, NaN,

